Date,Open,High,Low,Close,Adj Close,Volume
2008-04-16,114.949997,119.949997,114.949997,115.949997,94.091843,349052
2008-04-17,117.900002,119.250000,117.000000,117.500000,95.349625,213215
2008-04-21,119.000000,124.500000,118.500000,123.500000,100.218536,330704
2008-04-22,125.500000,129.899994,125.099998,127.449997,103.423897,372811
2008-04-23,130.000000,136.350006,129.000000,133.899994,108.658005,556917
2008-04-24,135.600006,137.000000,130.250000,130.850006,106.182976,304752
2008-04-25,131.949997,132.750000,126.099998,129.100006,104.762871,187858
2008-04-28,131.399994,133.899994,128.000000,129.949997,105.452637,255992
2008-04-29,130.300003,131.250000,127.699997,130.149994,105.614937,148476
2008-04-30,131.149994,135.000000,130.050003,130.850006,106.182976,204602
2008-05-02,135.000000,141.800003,131.600006,137.949997,111.944519,864858
2008-05-05,139.250000,143.399994,137.550003,138.899994,112.715408,564745
2008-05-06,137.000000,139.800003,131.199997,135.800003,110.199837,237880
2008-05-07,136.500000,137.899994,133.000000,135.300003,109.794090,183254
2008-05-08,132.199997,139.899994,131.100006,136.600006,110.849007,403679
2008-05-09,136.000000,137.000000,129.050003,130.350006,105.777237,194492
2008-05-12,127.000000,129.899994,121.500000,126.550003,102.693581,217012
2008-05-13,128.899994,133.199997,128.050003,128.500000,104.275963,210850
2008-05-14,129.399994,132.399994,128.149994,130.649994,106.020668,162288
2008-05-15,132.500000,136.850006,132.199997,132.949997,107.887100,439064
2008-05-16,134.500000,134.699997,129.149994,130.149994,105.614937,222000
2008-05-20,130.000000,132.000000,128.500000,129.699997,105.249748,158346
2008-05-21,129.899994,134.800003,128.550003,132.500000,107.521919,204322
2008-05-22,131.600006,132.500000,128.050003,129.300003,104.925171,129152
2008-05-23,130.000000,131.449997,124.500000,125.000000,101.435768,154612
2008-05-26,122.199997,124.000000,121.050003,121.800003,98.839020,93389
2008-05-27,123.500000,124.900002,119.250000,120.000000,97.378349,91805
2008-05-28,98.099998,120.849998,98.099998,119.050003,96.607437,91133
2008-05-29,120.500000,122.099998,116.300003,117.199997,95.106178,93358
2008-05-30,118.900002,121.300003,115.050003,115.500000,93.726654,109676
2008-06-02,117.800003,117.900002,109.699997,110.699997,89.831520,94861
2008-06-03,108.099998,111.199997,105.550003,109.699997,89.020035,157267
2008-06-04,109.699997,112.050003,105.750000,106.750000,86.626152,94919
2008-06-05,105.000000,107.949997,104.000000,107.050003,86.869606,95271
2008-06-06,108.300003,109.800003,105.250000,106.349998,86.301559,80777
2008-06-09,101.250000,105.000000,99.000000,103.150002,83.704803,143060
2008-06-10,102.000000,105.000000,100.150002,102.250000,82.974472,78005
2008-06-11,103.500000,105.500000,99.199997,99.849998,81.026886,152245
2008-06-12,98.550003,103.000000,97.099998,102.500000,83.177330,116302
2008-06-13,103.449997,105.900002,102.000000,103.099998,83.664230,113794
2008-06-16,104.900002,106.000000,104.000000,104.199997,84.556862,90500
2008-06-17,105.000000,108.000000,103.099998,107.500000,87.234756,146062
2008-06-18,107.000000,124.699997,107.000000,119.050003,96.607437,1334434
2008-06-19,115.400002,118.449997,111.250000,112.250000,92.016830,410817
2008-06-20,113.000000,113.800003,104.000000,105.349998,86.360558,328705
2008-06-23,105.000000,105.000000,100.000000,101.599998,83.286507,187567
2008-06-24,102.000000,104.800003,99.150002,100.449997,82.343781,168143
2008-06-25,95.000000,103.000000,95.000000,101.650002,83.327507,175117
2008-06-26,103.550003,105.900002,101.250000,102.599998,84.106255,144389
2008-06-27,99.949997,101.449997,98.199997,99.550003,81.606033,115067
2008-06-30,99.000000,100.900002,96.000000,96.500000,79.105789,92475
2008-07-01,96.750000,99.000000,90.000000,90.349998,74.064323,158895
2008-07-02,90.000000,93.449997,83.000000,92.000000,75.416908,212486
2008-07-03,92.500000,93.400002,87.500000,89.650002,73.490509,126302
2008-07-04,91.800003,94.500000,89.150002,92.000000,75.416908,202499
2008-07-07,92.949997,98.400002,92.900002,94.050003,77.097404,181094
2008-07-08,91.099998,100.849998,89.050003,97.300003,79.761581,314633
2008-07-09,99.000000,103.400002,99.000000,101.050003,82.835655,222992
2008-07-10,101.000000,104.400002,99.099998,102.050003,83.655403,174468
2008-07-11,102.800003,103.099998,97.000000,97.300003,79.761581,131164
2008-07-14,92.150002,101.849998,92.150002,97.199997,79.679604,164795
2008-07-15,96.199997,97.250000,94.050003,94.599998,77.548264,81239
2008-07-16,94.500000,97.199997,92.300003,93.400002,76.564568,86619
2008-07-17,97.550003,97.550003,92.300003,92.949997,76.195671,122568
2008-07-18,93.849998,96.000000,92.949997,93.650002,76.769501,140489
2008-07-21,94.500000,94.800003,90.500000,93.900002,76.974449,150195
2008-07-22,94.949997,97.599998,92.949997,96.699997,79.269730,246689
2008-07-23,101.050003,107.000000,101.050003,103.900002,85.171921,423998
2008-07-24,105.300003,107.900002,101.000000,101.900002,83.532433,309660
2008-07-25,98.750000,104.250000,98.050003,102.750000,84.229225,290502
2008-07-28,102.400002,105.500000,102.000000,102.949997,84.393181,185494
2008-07-29,100.000000,102.449997,98.500000,99.650002,81.688004,110558
2008-07-30,102.000000,103.500000,100.050003,100.800003,82.630707,212026
2008-07-31,101.750000,103.900002,101.000000,101.800003,83.450462,168961
2008-08-01,101.000000,103.000000,99.199997,102.199997,83.778351,145594
2008-08-04,103.099998,113.800003,102.400002,110.900002,90.910172,964101
2008-08-05,112.000000,116.400002,111.550003,113.199997,92.795593,730468
2008-08-06,116.000000,116.000000,107.849998,109.199997,89.516594,346991
2008-08-07,110.949997,111.449997,106.699997,107.849998,88.409935,221800
2008-08-08,108.400002,116.000000,106.300003,114.500000,93.861267,702883
2008-08-11,117.000000,117.650002,113.650002,114.150002,93.574356,427177
2008-08-12,115.449997,115.449997,110.150002,111.000000,90.992149,207356
2008-08-13,114.000000,122.400002,112.500000,119.349998,97.837044,1157298
2008-08-14,121.250000,123.349998,115.250000,116.150002,95.213860,626255
2008-08-18,116.050003,117.000000,112.800003,113.949997,93.410400,171453
2008-08-19,113.949997,116.349998,112.800003,114.699997,94.025208,204757
2008-08-20,115.500000,122.000000,114.900002,120.150002,98.492844,574168
2008-08-21,121.500000,123.900002,115.000000,115.750000,94.885956,631863
2008-08-22,112.800003,116.900002,112.800003,115.349998,94.558060,235837
2008-08-25,118.000000,118.500000,112.699997,113.199997,92.795593,141255
2008-08-26,111.500000,113.900002,111.099998,113.250000,92.836594,145999
2008-08-27,115.000000,121.699997,111.050003,111.699997,91.565979,122397
2008-08-28,112.449997,112.500000,107.000000,107.800003,88.368942,115012
2008-08-29,110.449997,112.150002,109.199997,110.849998,90.869194,119418
2008-09-01,108.000000,112.000000,108.000000,110.050003,90.213379,73249
2008-09-02,110.900002,113.800003,110.550003,112.199997,91.975845,121742
